split,task,partition,target_file,label,period,day,day_num,day_label,batch,sample_id
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o8.csv,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,alcohol_o8
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o9.csv,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,alcohol_o9
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o10.csv,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,source,alcohol_o10
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,train,alcohol\alcohol_o12.csv,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,source,alcohol_o12
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,validation,acetone\acetone_o2.csv,acetone,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,acetone_o2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,validation,acetone\acetone_o4.csv,acetone,Period_I,Day 2 noon,2,Period I Day 2 noon,source,acetone_o4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,validation,air\baseline_7.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_7
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,validation,alcohol\alcohol_o4.csv,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,source,alcohol_o4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,validation,alcohol\alcohol_o11.csv,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,source,alcohol_o11
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_1.csv,acetone,Period_II,Day 1,1,Period II Day 1,batch1,acetone_1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_2.csv,acetone,Period_II,Day 1,1,Period II Day 1,batch1,acetone_2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_3.csv,acetone,Period_II,Day 1,1,Period II Day 1,batch1,acetone_3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_4.csv,acetone,Period_II,Day 1,1,Period II Day 1,batch1,acetone_4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_5.csv,acetone,Period_II,Day 1,1,Period II Day 1,batch1,acetone_5
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_6.csv,acetone,Period_II,Day 2,2,Period II Day 2,batch1,acetone_6
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_7.csv,acetone,Period_II,Day 2,2,Period II Day 2,batch1,acetone_7
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_8.csv,acetone,Period_II,Day 2,2,Period II Day 2,batch1,acetone_8
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_9.csv,acetone,Period_II,Day 2,2,Period II Day 2,batch1,acetone_9
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,acetone\acetone_10.csv,acetone,Period_II,Day 2,2,Period II Day 2,batch1,acetone_10
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\air_1.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,air_1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\air_2.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,air_2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\air_3.csv,air,Period_II,Day 2,2,Period II Day 2,batch1,air_3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\air_4.csv,air,Period_II,Day 2,2,Period II Day 2,batch1,air_4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\reference_1.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\reference_2.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\reference_3.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,air\reference_4.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_1.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_1
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_2.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_2
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_3.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_3
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_4.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_4
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_5.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_5
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_6.csv,alcohol,Period_II,Day 2,2,Period II Day 2,batch1,alcohol_6
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_7.csv,alcohol,Period_II,Day 2,2,Period II Day 2,batch1,alcohol_7
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_8.csv,alcohol,Period_II,Day 2,2,Period II Day 2,batch1,alcohol_8
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_9.csv,alcohol,Period_II,Day 2,2,Period II Day 2,batch1,alcohol_9
PB1_train_period_i_internal_val_test_batch1,three_class_with_air,test,alcohol\alcohol_10.csv,alcohol,Period_II,Day 2,2,Period II Day 2,batch1,alcohol_10
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o1.csv,acetone,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,acetone_o1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o3.csv,acetone,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,acetone_o3
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o5.csv,acetone,Period_I,Day 2 noon,2,Period I Day 2 noon,source,acetone_o5
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o6.csv,acetone,Period_I,Day 2 noon,2,Period I Day 2 noon,source,acetone_o6
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o7.csv,acetone,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,acetone_o7
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o8.csv,acetone,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,acetone_o8
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o9.csv,acetone,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,acetone_o9
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o10.csv,acetone,Period_I,Day 3 noon,3,Period I Day 3 noon,source,acetone_o10
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o11.csv,acetone,Period_I,Day 3 noon,3,Period I Day 3 noon,source,acetone_o11
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,acetone\acetone_o12.csv,acetone,Period_I,Day 3 noon,3,Period I Day 3 noon,source,acetone_o12
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,air\baseline_1.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,air\baseline_3.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_3
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,air\baseline_4.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_4
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,air\baseline_5.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_5
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,air\baseline_6.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_6
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o1.csv,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,alcohol_o1
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o2.csv,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,alcohol_o2
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o3.csv,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,alcohol_o3
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o5.csv,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,source,alcohol_o5
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o6.csv,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,source,alcohol_o6
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o7.csv,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,alcohol_o7
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o8.csv,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,alcohol_o8
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o9.csv,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,source,alcohol_o9
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o10.csv,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,source,alcohol_o10
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,train,alcohol\alcohol_o12.csv,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,source,alcohol_o12
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,validation,acetone\acetone_o2.csv,acetone,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,acetone_o2
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,validation,acetone\acetone_o4.csv,acetone,Period_I,Day 2 noon,2,Period I Day 2 noon,source,acetone_o4
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,validation,air\baseline_7.csv,air,Period_I,baseline,0,Period I baseline,source,baseline_7
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,validation,alcohol\alcohol_o4.csv,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,source,alcohol_o4
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,validation,alcohol\alcohol_o11.csv,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,source,alcohol_o11
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_11.csv,acetone,Period_II,Day 3,3,Period II Day 3,batch2,acetone_11
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_12.csv,acetone,Period_II,Day 3,3,Period II Day 3,batch2,acetone_12
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_13.csv,acetone,Period_II,Day 3,3,Period II Day 3,batch2,acetone_13
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_14.csv,acetone,Period_II,Day 3,3,Period II Day 3,batch2,acetone_14
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_15.csv,acetone,Period_II,Day 3,3,Period II Day 3,batch2,acetone_15
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_16.csv,acetone,Period_II,Day 4,4,Period II Day 4,batch2,acetone_16
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_17.csv,acetone,Period_II,Day 4,4,Period II Day 4,batch2,acetone_17
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_18.csv,acetone,Period_II,Day 4,4,Period II Day 4,batch2,acetone_18
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_19.csv,acetone,Period_II,Day 4,4,Period II Day 4,batch2,acetone_19
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_20.csv,acetone,Period_II,Day 4,4,Period II Day 4,batch2,acetone_20
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_21.csv,acetone,Period_II,Day 5,5,Period II Day 5,batch2,acetone_21
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_22.csv,acetone,Period_II,Day 5,5,Period II Day 5,batch2,acetone_22
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_23.csv,acetone,Period_II,Day 5,5,Period II Day 5,batch2,acetone_23
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_24.csv,acetone,Period_II,Day 5,5,Period II Day 5,batch2,acetone_24
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_25.csv,acetone,Period_II,Day 5,5,Period II Day 5,batch2,acetone_25
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_26.csv,acetone,Period_II,Day 6,6,Period II Day 6,batch2,acetone_26
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_27.csv,acetone,Period_II,Day 6,6,Period II Day 6,batch2,acetone_27
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_28.csv,acetone,Period_II,Day 6,6,Period II Day 6,batch2,acetone_28
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_29.csv,acetone,Period_II,Day 6,6,Period II Day 6,batch2,acetone_29
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_30.csv,acetone,Period_II,Day 6,6,Period II Day 6,batch2,acetone_30
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_31.csv,acetone,Period_II,Day 6,6,Period II Day 6,batch2,acetone_31
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_32.csv,acetone,Period_II,Day 6,6,Period II Day 6,batch2,acetone_32
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_33.csv,acetone,Period_II,Day 7,7,Period II Day 7,batch2,acetone_33
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_34.csv,acetone,Period_II,Day 7,7,Period II Day 7,batch2,acetone_34
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_35.csv,acetone,Period_II,Day 7,7,Period II Day 7,batch2,acetone_35
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_36.csv,acetone,Period_II,Day 8,8,Period II Day 8,batch2,acetone_36
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_37.csv,acetone,Period_II,Day 8,8,Period II Day 8,batch2,acetone_37
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_38.csv,acetone,Period_II,Day 8,8,Period II Day 8,batch2,acetone_38
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_39.csv,acetone,Period_II,Day 9,9,Period II Day 9,batch2,acetone_39
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_40.csv,acetone,Period_II,Day 9,9,Period II Day 9,batch2,acetone_40
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_41.csv,acetone,Period_II,Day 9,9,Period II Day 9,batch2,acetone_41
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_42.csv,acetone,Period_II,Day 9,9,Period II Day 9,batch2,acetone_42
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,acetone\acetone_43.csv,acetone,Period_II,Day 9,9,Period II Day 9,batch2,acetone_43
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_5.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,air_5
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_6.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,air_6
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_7.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,air_7
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_8.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,air_8
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_9.csv,air,Period_II,Day 5,5,Period II Day 5,batch2,air_9
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_10.csv,air,Period_II,Day 5,5,Period II Day 5,batch2,air_10
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_11.csv,air,Period_II,Day 6,6,Period II Day 6,batch2,air_11
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_12.csv,air,Period_II,Day 6,6,Period II Day 6,batch2,air_12
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_13.csv,air,Period_II,Day 6,6,Period II Day 6,batch2,air_13
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_14.csv,air,Period_II,Day 8,8,Period II Day 8,batch2,air_14
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_15.csv,air,Period_II,Day 8,8,Period II Day 8,batch2,air_15
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_16.csv,air,Period_II,Day 9,9,Period II Day 9,batch2,air_16
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\air_17.csv,air,Period_II,Day 9,9,Period II Day 9,batch2,air_17
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\reference_5.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,reference_5
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\reference_6.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,reference_6
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\reference_7.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,reference_7
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\reference_8.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,reference_8
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,air\reference_9.csv,air,Period_II,Day 8,8,Period II Day 8,batch2,reference_9
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_11.csv,alcohol,Period_II,Day 3,3,Period II Day 3,batch2,alcohol_11
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_12.csv,alcohol,Period_II,Day 3,3,Period II Day 3,batch2,alcohol_12
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_13.csv,alcohol,Period_II,Day 3,3,Period II Day 3,batch2,alcohol_13
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_14.csv,alcohol,Period_II,Day 3,3,Period II Day 3,batch2,alcohol_14
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_15.csv,alcohol,Period_II,Day 3,3,Period II Day 3,batch2,alcohol_15
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_16.csv,alcohol,Period_II,Day 4,4,Period II Day 4,batch2,alcohol_16
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_17.csv,alcohol,Period_II,Day 4,4,Period II Day 4,batch2,alcohol_17
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_18.csv,alcohol,Period_II,Day 4,4,Period II Day 4,batch2,alcohol_18
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_19.csv,alcohol,Period_II,Day 4,4,Period II Day 4,batch2,alcohol_19
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_20.csv,alcohol,Period_II,Day 4,4,Period II Day 4,batch2,alcohol_20
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_21.csv,alcohol,Period_II,Day 5,5,Period II Day 5,batch2,alcohol_21
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_22.csv,alcohol,Period_II,Day 5,5,Period II Day 5,batch2,alcohol_22
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_23.csv,alcohol,Period_II,Day 5,5,Period II Day 5,batch2,alcohol_23
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_24.csv,alcohol,Period_II,Day 5,5,Period II Day 5,batch2,alcohol_24
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_25.csv,alcohol,Period_II,Day 5,5,Period II Day 5,batch2,alcohol_25
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_26.csv,alcohol,Period_II,Day 6,6,Period II Day 6,batch2,alcohol_26
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_27.csv,alcohol,Period_II,Day 6,6,Period II Day 6,batch2,alcohol_27
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_28.csv,alcohol,Period_II,Day 6,6,Period II Day 6,batch2,alcohol_28
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_29.csv,alcohol,Period_II,Day 6,6,Period II Day 6,batch2,alcohol_29
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_30.csv,alcohol,Period_II,Day 6,6,Period II Day 6,batch2,alcohol_30
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_31.csv,alcohol,Period_II,Day 6,6,Period II Day 6,batch2,alcohol_31
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_32.csv,alcohol,Period_II,Day 6,6,Period II Day 6,batch2,alcohol_32
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_33.csv,alcohol,Period_II,Day 7,7,Period II Day 7,batch2,alcohol_33
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_34.csv,alcohol,Period_II,Day 7,7,Period II Day 7,batch2,alcohol_34
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_35.csv,alcohol,Period_II,Day 7,7,Period II Day 7,batch2,alcohol_35
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_36.csv,alcohol,Period_II,Day 8,8,Period II Day 8,batch2,alcohol_36
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_37.csv,alcohol,Period_II,Day 8,8,Period II Day 8,batch2,alcohol_37
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_38.csv,alcohol,Period_II,Day 8,8,Period II Day 8,batch2,alcohol_38
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_39.csv,alcohol,Period_II,Day 9,9,Period II Day 9,batch2,alcohol_39
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_40.csv,alcohol,Period_II,Day 9,9,Period II Day 9,batch2,alcohol_40
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_41.csv,alcohol,Period_II,Day 9,9,Period II Day 9,batch2,alcohol_41
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_42.csv,alcohol,Period_II,Day 9,9,Period II Day 9,batch2,alcohol_42
PB2_train_period_i_internal_val_test_batch2,three_class_with_air,test,alcohol\alcohol_43.csv,alcohol,Period_II,Day 9,9,Period II Day 9,batch2,alcohol_43
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,train,acetone\acetone_o1.csv,acetone,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,source,acetone_o1
