split,task,partition,target_file,label,period,day,day_num,day_label,batch,sample_id
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_79.csv,acetone,Period_III,Day 20,20,Period III Day 20,batch4,acetone_79
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_80.csv,acetone,Period_III,Day 20,20,Period III Day 20,batch4,acetone_80
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_81.csv,acetone,Period_III,Day 21,21,Period III Day 21,batch4,acetone_81
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_82.csv,acetone,Period_III,Day 21,21,Period III Day 21,batch4,acetone_82
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_83.csv,acetone,Period_III,Day 21,21,Period III Day 21,batch4,acetone_83
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_84.csv,acetone,Period_III,Day 21,21,Period III Day 21,batch4,acetone_84
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_85.csv,acetone,Period_IV,Day 22,22,Period IV Day 22,batch5,acetone_85
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_86.csv,acetone,Period_IV,Day 22,22,Period IV Day 22,batch5,acetone_86
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_87.csv,acetone,Period_IV,Day 22,22,Period IV Day 22,batch5,acetone_87
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_88.csv,acetone,Period_IV,Day 22,22,Period IV Day 22,batch5,acetone_88
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_89.csv,acetone,Period_IV,Day 23,23,Period IV Day 23,batch5,acetone_89
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_90.csv,acetone,Period_IV,Day 23,23,Period IV Day 23,batch5,acetone_90
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_91.csv,acetone,Period_IV,Day 23,23,Period IV Day 23,batch5,acetone_91
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_92.csv,acetone,Period_IV,Day 23,23,Period IV Day 23,batch5,acetone_92
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_93.csv,acetone,Period_IV,Day 24,24,Period IV Day 24,batch5,acetone_93
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_94.csv,acetone,Period_IV,Day 24,24,Period IV Day 24,batch5,acetone_94
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_95.csv,acetone,Period_IV,Day 24,24,Period IV Day 24,batch5,acetone_95
S1_train_I_test_all,three_class_with_air,test,acetone\acetone_96.csv,acetone,Period_IV,Day 24,24,Period IV Day 24,batch5,acetone_96
S1_train_I_test_all,three_class_with_air,test,air\air_1.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,air_1
S1_train_I_test_all,three_class_with_air,test,air\air_2.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,air_2
S1_train_I_test_all,three_class_with_air,test,air\air_3.csv,air,Period_II,Day 2,2,Period II Day 2,batch1,air_3
S1_train_I_test_all,three_class_with_air,test,air\air_4.csv,air,Period_II,Day 2,2,Period II Day 2,batch1,air_4
S1_train_I_test_all,three_class_with_air,test,air\air_5.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,air_5
S1_train_I_test_all,three_class_with_air,test,air\air_6.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,air_6
S1_train_I_test_all,three_class_with_air,test,air\air_7.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,air_7
S1_train_I_test_all,three_class_with_air,test,air\air_8.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,air_8
S1_train_I_test_all,three_class_with_air,test,air\air_9.csv,air,Period_II,Day 5,5,Period II Day 5,batch2,air_9
S1_train_I_test_all,three_class_with_air,test,air\air_10.csv,air,Period_II,Day 5,5,Period II Day 5,batch2,air_10
S1_train_I_test_all,three_class_with_air,test,air\air_11.csv,air,Period_II,Day 6,6,Period II Day 6,batch2,air_11
S1_train_I_test_all,three_class_with_air,test,air\air_12.csv,air,Period_II,Day 6,6,Period II Day 6,batch2,air_12
S1_train_I_test_all,three_class_with_air,test,air\air_13.csv,air,Period_II,Day 6,6,Period II Day 6,batch2,air_13
S1_train_I_test_all,three_class_with_air,test,air\air_14.csv,air,Period_II,Day 8,8,Period II Day 8,batch2,air_14
S1_train_I_test_all,three_class_with_air,test,air\air_15.csv,air,Period_II,Day 8,8,Period II Day 8,batch2,air_15
S1_train_I_test_all,three_class_with_air,test,air\air_16.csv,air,Period_II,Day 9,9,Period II Day 9,batch2,air_16
S1_train_I_test_all,three_class_with_air,test,air\air_17.csv,air,Period_II,Day 9,9,Period II Day 9,batch2,air_17
S1_train_I_test_all,three_class_with_air,test,air\air_18.csv,air,Period_II,Day 10,10,Period II Day 10,batch3,air_18
S1_train_I_test_all,three_class_with_air,test,air\air_19.csv,air,Period_II,Day 10,10,Period II Day 10,batch3,air_19
S1_train_I_test_all,three_class_with_air,test,air\air_20.csv,air,Period_II,Day 11,11,Period II Day 11,batch3,air_20
S1_train_I_test_all,three_class_with_air,test,air\air_21.csv,air,Period_II,Day 11,11,Period II Day 11,batch3,air_21
S1_train_I_test_all,three_class_with_air,test,air\air_22.csv,air,Period_II,Day 12,12,Period II Day 12,batch3,air_22
S1_train_I_test_all,three_class_with_air,test,air\air_23.csv,air,Period_II,Day 12,12,Period II Day 12,batch3,air_23
S1_train_I_test_all,three_class_with_air,test,air\air_24.csv,air,Period_II,Day 13,13,Period II Day 13,batch3,air_24
S1_train_I_test_all,three_class_with_air,test,air\air_25.csv,air,Period_II,Day 13,13,Period II Day 13,batch3,air_25
S1_train_I_test_all,three_class_with_air,test,air\air_26.csv,air,Period_II,Day 13,13,Period II Day 13,batch3,air_26
S1_train_I_test_all,three_class_with_air,test,air\air_27.csv,air,Period_II,Day 13,13,Period II Day 13,batch3,air_27
S1_train_I_test_all,three_class_with_air,test,air\air_28.csv,air,Period_II,Day 13,13,Period II Day 13,batch3,air_28
S1_train_I_test_all,three_class_with_air,test,air\air_29.csv,air,Period_II,Day 14,14,Period II Day 14,batch3,air_29
S1_train_I_test_all,three_class_with_air,test,air\air_30.csv,air,Period_II,Day 14,14,Period II Day 14,batch3,air_30
S1_train_I_test_all,three_class_with_air,test,air\air_31.csv,air,Period_II,Day 14,14,Period II Day 14,batch3,air_31
S1_train_I_test_all,three_class_with_air,test,air\air_32.csv,air,Period_II,Day 14,14,Period II Day 14,batch3,air_32
S1_train_I_test_all,three_class_with_air,test,air\air_33.csv,air,Period_II,Day 14,14,Period II Day 14,batch3,air_33
S1_train_I_test_all,three_class_with_air,test,air\air_34.csv,air,Period_II,Day 14,14,Period II Day 14,batch3,air_34
S1_train_I_test_all,three_class_with_air,test,air\air_35.csv,air,Period_II,Day 15,15,Period II Day 15,batch3,air_35
S1_train_I_test_all,three_class_with_air,test,air\air_36.csv,air,Period_II,Day 15,15,Period II Day 15,batch3,air_36
S1_train_I_test_all,three_class_with_air,test,air\air_37.csv,air,Period_II,Day 15,15,Period II Day 15,batch3,air_37
S1_train_I_test_all,three_class_with_air,test,air\air_38.csv,air,Period_II,Day 15,15,Period II Day 15,batch3,air_38
S1_train_I_test_all,three_class_with_air,test,air\air_39.csv,air,Period_II,Day 15,15,Period II Day 15,batch3,air_39
S1_train_I_test_all,three_class_with_air,test,air\air_40.csv,air,Period_II,Day 15,15,Period II Day 15,batch3,air_40
S1_train_I_test_all,three_class_with_air,test,air\air_41.csv,air,Period_II,Day 16,16,Period II Day 16,batch3,air_41
S1_train_I_test_all,three_class_with_air,test,air\air_42.csv,air,Period_II,Day 16,16,Period II Day 16,batch3,air_42
S1_train_I_test_all,three_class_with_air,test,air\air_43.csv,air,Period_II,Day 16,16,Period II Day 16,batch3,air_43
S1_train_I_test_all,three_class_with_air,test,air\air_44.csv,air,Period_II,Day 16,16,Period II Day 16,batch3,air_44
S1_train_I_test_all,three_class_with_air,test,air\air_45.csv,air,Period_II,Day 17,17,Period II Day 17,batch3,air_45
S1_train_I_test_all,three_class_with_air,test,air\air_46.csv,air,Period_II,Day 17,17,Period II Day 17,batch3,air_46
S1_train_I_test_all,three_class_with_air,test,air\air_47.csv,air,Period_II,Day 17,17,Period II Day 17,batch3,air_47
S1_train_I_test_all,three_class_with_air,test,air\air_48.csv,air,Period_II,Day 17,17,Period II Day 17,batch3,air_48
S1_train_I_test_all,three_class_with_air,test,air\air_49.csv,air,Period_III,Day 18,18,Period III Day 18,batch4,air_49
S1_train_I_test_all,three_class_with_air,test,air\air_50.csv,air,Period_III,Day 18,18,Period III Day 18,batch4,air_50
S1_train_I_test_all,three_class_with_air,test,air\air_51.csv,air,Period_III,Day 18,18,Period III Day 18,batch4,air_51
S1_train_I_test_all,three_class_with_air,test,air\air_52.csv,air,Period_III,Day 18,18,Period III Day 18,batch4,air_52
S1_train_I_test_all,three_class_with_air,test,air\air_53.csv,air,Period_III,Day 19,19,Period III Day 19,batch4,air_53
S1_train_I_test_all,three_class_with_air,test,air\air_54.csv,air,Period_III,Day 19,19,Period III Day 19,batch4,air_54
S1_train_I_test_all,three_class_with_air,test,air\air_55.csv,air,Period_III,Day 20,20,Period III Day 20,batch4,air_55
S1_train_I_test_all,three_class_with_air,test,air\air_56.csv,air,Period_III,Day 20,20,Period III Day 20,batch4,air_56
S1_train_I_test_all,three_class_with_air,test,air\air_57.csv,air,Period_III,Day 20,20,Period III Day 20,batch4,air_57
S1_train_I_test_all,three_class_with_air,test,air\air_58.csv,air,Period_III,Day 20,20,Period III Day 20,batch4,air_58
S1_train_I_test_all,three_class_with_air,test,air\air_59.csv,air,Period_III,Day 21,21,Period III Day 21,batch4,air_59
S1_train_I_test_all,three_class_with_air,test,air\air_60.csv,air,Period_III,Day 21,21,Period III Day 21,batch4,air_60
S1_train_I_test_all,three_class_with_air,test,air\air_61.csv,air,Period_III,Day 21,21,Period III Day 21,batch4,air_61
S1_train_I_test_all,three_class_with_air,test,air\air_62.csv,air,Period_III,Day 21,21,Period III Day 21,batch4,air_62
S1_train_I_test_all,three_class_with_air,test,air\air_63.csv,air,Period_IV,Day 22,22,Period IV Day 22,batch5,air_63
S1_train_I_test_all,three_class_with_air,test,air\air_64.csv,air,Period_IV,Day 22,22,Period IV Day 22,batch5,air_64
S1_train_I_test_all,three_class_with_air,test,air\air_65.csv,air,Period_IV,Day 22,22,Period IV Day 22,batch5,air_65
S1_train_I_test_all,three_class_with_air,test,air\air_66.csv,air,Period_IV,Day 23,23,Period IV Day 23,batch5,air_66
S1_train_I_test_all,three_class_with_air,test,air\air_67.csv,air,Period_IV,Day 23,23,Period IV Day 23,batch5,air_67
S1_train_I_test_all,three_class_with_air,test,air\air_68.csv,air,Period_IV,Day 23,23,Period IV Day 23,batch5,air_68
S1_train_I_test_all,three_class_with_air,test,air\air_69.csv,air,Period_IV,Day 23,23,Period IV Day 23,batch5,air_69
S1_train_I_test_all,three_class_with_air,test,air\air_70.csv,air,Period_IV,Day 24,24,Period IV Day 24,batch5,air_70
S1_train_I_test_all,three_class_with_air,test,air\air_71.csv,air,Period_IV,Day 24,24,Period IV Day 24,batch5,air_71
S1_train_I_test_all,three_class_with_air,test,air\air_72.csv,air,Period_IV,Day 24,24,Period IV Day 24,batch5,air_72
S1_train_I_test_all,three_class_with_air,test,air\reference_1.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_1
S1_train_I_test_all,three_class_with_air,test,air\reference_2.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_2
S1_train_I_test_all,three_class_with_air,test,air\reference_3.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_3
S1_train_I_test_all,three_class_with_air,test,air\reference_4.csv,air,Period_II,Day 1,1,Period II Day 1,batch1,reference_4
S1_train_I_test_all,three_class_with_air,test,air\reference_5.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,reference_5
S1_train_I_test_all,three_class_with_air,test,air\reference_6.csv,air,Period_II,Day 3,3,Period II Day 3,batch2,reference_6
S1_train_I_test_all,three_class_with_air,test,air\reference_7.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,reference_7
S1_train_I_test_all,three_class_with_air,test,air\reference_8.csv,air,Period_II,Day 4,4,Period II Day 4,batch2,reference_8
S1_train_I_test_all,three_class_with_air,test,air\reference_9.csv,air,Period_II,Day 8,8,Period II Day 8,batch2,reference_9
S1_train_I_test_all,three_class_with_air,test,alcohol\alcohol_1.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_1
S1_train_I_test_all,three_class_with_air,test,alcohol\alcohol_2.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_2
S1_train_I_test_all,three_class_with_air,test,alcohol\alcohol_3.csv,alcohol,Period_II,Day 1,1,Period II Day 1,batch1,alcohol_3
