split,description,task,model,test_batch,fit_scope,training_randomness,protocol_version,preprocessing,seed_count,seed_values,tuning_random_state,tuning_seed_values,best_params,fixed_estimator_params,selection_method,final_training,train_n,selection_train_n,validation_n,test_n,train_accuracy,train_accuracy_variance,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_balanced_accuracy,train_balanced_accuracy_variance,train_balanced_accuracy_std,train_balanced_accuracy_min,train_balanced_accuracy_max,train_macro_f1,train_macro_f1_variance,train_macro_f1_std,train_macro_f1_min,train_macro_f1_max,validation_accuracy,validation_accuracy_variance,validation_accuracy_std,validation_accuracy_min,validation_accuracy_max,validation_balanced_accuracy,validation_balanced_accuracy_variance,validation_balanced_accuracy_std,validation_balanced_accuracy_min,validation_balanced_accuracy_max,validation_macro_f1,validation_macro_f1_variance,validation_macro_f1_std,validation_macro_f1_min,validation_macro_f1_max,test_accuracy,test_accuracy_variance,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_balanced_accuracy,test_balanced_accuracy_variance,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_macro_f1,test_macro_f1_variance,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,Random Forest,batch5,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,max_features=sqrt;max_depth=2;min_samples_leaf=1,n_estimators=300;criterion=gini;class_weight=balanced;bootstrap=True;n_jobs=-1,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,34,0.9066666666666666,0.00022222222222222212,0.014907119849998594,0.9,0.9333333333333333,0.9222222222222222,0.00015432098765432237,0.012422599874998887,0.9166666666666666,0.9444444444444445,0.9210863210863212,0.0001648761185520722,0.012840409594404386,0.9153439153439153,0.9440559440559441,0.8,0.0,0.0,0.8,0.8,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8222222222222223,0.0,0.0,0.8222222222222223,0.8222222222222223,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9444444444444444,1.5407439555097887e-32,1.2412670766236366e-16,0.9444444444444445,0.9444444444444445,0.944055944055944,1.5407439555097887e-32,1.2412670766236366e-16,0.9440559440559441,0.9440559440559441
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,RBF SVM,batch1,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,28,0.8333333333333334,,,,,0.861111111111111,,,,,0.8344322344322345,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6785714285714286,,,,,0.6916666666666668,,,,,0.6805555555555555,,,,
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,RBF SVM,batch2,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,84,0.8333333333333334,,,,,0.861111111111111,,,,,0.8344322344322345,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6547619047619048,,,,,0.6902356902356903,,,,,0.6719325082278774,,,,
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,RBF SVM,batch3,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,81,0.8333333333333334,,,,,0.861111111111111,,,,,0.8344322344322345,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6666666666666666,,,,,0.6477419354838709,,,,,0.6129033829130262,,,,
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,RBF SVM,batch4,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,46,0.8333333333333334,,,,,0.861111111111111,,,,,0.8344322344322345,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.6521739130434783,,,,,0.6607142857142857,,,,,0.6610757663389243,,,,
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,RBF SVM,batch5,fixed_period_i_all_batches,deterministic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",0,,,,C=0.1;gamma=scale,,validation_macro_f1_balanced_accuracy_accuracy,train_val_refit,30,25,5,34,0.8333333333333334,,,,,0.861111111111111,,,,,0.8344322344322345,,,,,0.8,,,,,0.8333333333333334,,,,,0.8222222222222223,,,,,0.8529411764705882,,,,,0.8611111111111112,,,,,0.8568542568542569,,,,
PB1_train_period_i_internal_val_test_batch1,Train fixed Period I subset; validate fixed Period I holdout; test batch1 only.,three_class_with_air,MLP,batch1,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,28,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.0,0.0,0.6,0.6,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.611111111111111,0.0,0.0,0.611111111111111,0.611111111111111,0.8142857142857143,0.0028061224489795934,0.05297284633639761,0.75,0.8928571428571429,0.8216666666666667,0.0027986111111111137,0.05290190082701295,0.7583333333333333,0.9,0.8104426619132502,0.0028361164862423112,0.0532552014947114,0.75,0.8912655971479501
PB2_train_period_i_internal_val_test_batch2,Train fixed Period I subset; validate fixed Period I holdout; test batch2 only.,three_class_with_air,MLP,batch2,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,84,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.0,0.0,0.6,0.6,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.611111111111111,0.0,0.0,0.611111111111111,0.611111111111111,0.7880952380952382,0.0037840136054421813,0.06151433658458962,0.7023809523809523,0.8690476190476191,0.8033670033670035,0.0033548164019544507,0.05792077694536263,0.7222222222222222,0.8804713804713805,0.789021288924244,0.004938901813924473,0.07027732076512645,0.6833333333333335,0.8623591344902821
PB3_train_period_i_internal_val_test_batch3,Train fixed Period I subset; validate fixed Period I holdout; test batch3 only.,three_class_with_air,MLP,batch3,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,81,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.0,0.0,0.6,0.6,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.611111111111111,0.0,0.0,0.611111111111111,0.611111111111111,0.6765432098765432,0.0010211857948483477,0.03195599779146863,0.6419753086419753,0.7283950617283951,0.6682150537634409,0.0011201849924846793,0.033469164801122234,0.6313978494623657,0.7221505376344086,0.6507396199959669,0.0015691984055997625,0.039613109012039974,0.6190111882340394,0.7174128155755243
PB4_train_period_i_internal_val_test_batch4,Train fixed Period I subset; validate fixed Period I holdout; test batch4 only.,three_class_with_air,MLP,batch4,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,46,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.0,0.0,0.6,0.6,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.611111111111111,0.0,0.0,0.611111111111111,0.611111111111111,0.7434782608695653,0.006001890359168242,0.07747186817915418,0.6739130434782609,0.8695652173913043,0.7452380952380951,0.005512152777777776,0.07424387367168941,0.6785714285714285,0.8660714285714285,0.740357173400539,0.00690305061781132,0.08308459916140488,0.6647619047619048,0.8721863799283155
PB5_train_period_i_internal_val_test_batch5,Train fixed Period I subset; validate fixed Period I holdout; test batch5 only.,three_class_with_air,MLP,batch5,fixed_period_i_all_batches,stochastic,enose_three_class_ml_v2_2026-07-01,"Pipeline(StandardScaler, classifier)",5,0;1;2;3;4,,0;1;2;3;4,"hidden_layer_sizes=(32, 16);alpha=0.0001;learning_rate_init=0.01",activation=relu;solver=adam;max_iter=400;early_stopping=False,validation_metrics_mean_over_fixed_seeds,train_val_refit,30,25,5,34,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.0,0.0,0.6,0.6,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.611111111111111,0.0,0.0,0.611111111111111,0.611111111111111,0.8470588235294118,0.001470588235294118,0.038348249442368525,0.7941176470588235,0.8823529411764706,0.85,0.0013117283950617284,0.036217791140014714,0.7999999999999999,0.8833333333333333,0.851324457106303,0.0013270045964733454,0.03642807428993942,0.8008695652173913,0.8872180451127819
