sample_name,source_file,gas,group,day,date
alcohol_36,alcohol_36.csv,alcohol,36,Day7,24.05.2026
alcohol_37,alcohol_37.csv,alcohol,37,Day7,24.05.2026
alcohol_38,alcohol_38.csv,alcohol,38,Day7,24.05.2026
acetone_36,acetone_36.csv,acetone,36,Day7,24.05.2026
acetone_37,acetone_37.csv,acetone,37,Day7,24.05.2026
acetone_38,acetone_38.csv,acetone,38,Day7,24.05.2026
air_14,air_14.csv,air,14,Day7,24.05.2026
air_15,air_15.csv,air,15,Day7,24.05.2026
alcohol_39,alcohol_39.csv,alcohol,39,Day8,25.05.2026
alcohol_40,alcohol_40.csv,alcohol,40,Day8,25.05.2026
alcohol_41,alcohol_41.csv,alcohol,41,Day8,25.05.2026
alcohol_42,alcohol_42.csv,alcohol,42,Day8,25.05.2026
alcohol_43,alcohol_43.csv,alcohol,43,Day8,25.05.2026
acetone_39,acetone_39.csv,acetone,39,Day8,25.05.2026
acetone_40,acetone_40.csv,acetone,40,Day8,25.05.2026
acetone_41,acetone_41.csv,acetone,41,Day8,25.05.2026
acetone_42,acetone_42.csv,acetone,42,Day8,25.05.2026
acetone_43,acetone_43.csv,acetone,43,Day8,25.05.2026
air_16,air_16.csv,air,16,Day8,25.05.2026
air_17,air_17.csv,air,17,Day8,25.05.2026
alcohol_44,alcohol_44.csv,alcohol,44,Day9,27.05.2026
alcohol_45,alcohol_45.csv,alcohol,45,Day9,27.05.2026
alcohol_46,alcohol_46.csv,alcohol,46,Day9,27.05.2026
alcohol_47,alcohol_47.csv,alcohol,47,Day9,27.05.2026
acetone_44,acetone_44.csv,acetone,44,Day9,27.05.2026
acetone_45,acetone_45.csv,acetone,45,Day9,27.05.2026
acetone_46,acetone_46.csv,acetone,46,Day9,27.05.2026
acetone_47,acetone_47.csv,acetone,47,Day9,27.05.2026
air_18,air_18.csv,air,18,Day9,27.05.2026
air_19,air_19.csv,air,19,Day9,27.05.2026
alcohol_48,alcohol_48.csv,alcohol,48,Day10,28.05.2026
alcohol_49,alcohol_49.csv,alcohol,49,Day10,28.05.2026
alcohol_50,alcohol_50.csv,alcohol,50,Day10,28.05.2026
alcohol_51,alcohol_51.csv,alcohol,51,Day10,28.05.2026
acetone_48,acetone_48.csv,acetone,48,Day10,28.05.2026
acetone_49,acetone_49.csv,acetone,49,Day10,28.05.2026
acetone_50,acetone_50.csv,acetone,50,Day10,28.05.2026
acetone_51,acetone_51.csv,acetone,51,Day10,28.05.2026
air_20,air_20.csv,air,20,Day10,28.05.2026
air_21,air_21.csv,air,21,Day10,28.05.2026
alcohol_52,alcohol_52.csv,alcohol,52,Day11,29.05.2026
alcohol_53,alcohol_53.csv,alcohol,53,Day11,29.05.2026
alcohol_54,alcohol_54.csv,alcohol,54,Day11,29.05.2026
alcohol_55,alcohol_55.csv,alcohol,55,Day11,29.05.2026
acetone_52,acetone_52.csv,acetone,52,Day11,29.05.2026
acetone_53,acetone_53.csv,acetone,53,Day11,29.05.2026
acetone_54,acetone_54.csv,acetone,54,Day11,29.05.2026
acetone_55,acetone_55.csv,acetone,55,Day11,29.05.2026
air_22,air_22.csv,air,22,Day11,29.05.2026
air_23,air_23.csv,air,23,Day11,29.05.2026
air_24,air_24.csv,air,24,Day12,30.05.2026
air_25,air_25.csv,air,25,Day12,30.05.2026
air_26,air_26.csv,air,26,Day12,30.05.2026
air_27,air_27.csv,air,27,Day12,30.05.2026
air_28,air_28.csv,air,28,Day12,30.05.2026
alcohol_56,alcohol_56.csv,alcohol,56,Day12,30.05.2026
alcohol_57,alcohol_57.csv,alcohol,57,Day12,30.05.2026
acetone_56,acetone_56.csv,acetone,56,Day12,30.05.2026
acetone_57,acetone_57.csv,acetone,57,Day12,30.05.2026
air_29,air_29.csv,air,29,Day13,31.05.2026
air_30,air_30.csv,air,30,Day13,31.05.2026
air_31,air_31.csv,air,31,Day13,31.05.2026
air_32,air_32.csv,air,32,Day13,31.05.2026
air_33,air_33.csv,air,33,Day13,31.05.2026
air_34,air_34.csv,air,34,Day13,31.05.2026
alcohol_58,alcohol_58.csv,alcohol,58,Day13,31.05.2026
alcohol_59,alcohol_59.csv,alcohol,59,Day13,31.05.2026
alcohol_60,alcohol_60.csv,alcohol,60,Day13,31.05.2026
acetone_58,acetone_58.csv,acetone,58,Day13,31.05.2026
acetone_59,acetone_59.csv,acetone,59,Day13,31.05.2026
acetone_60,acetone_60.csv,acetone,60,Day13,31.05.2026
alcohol_61,alcohol_61.csv,alcohol,61,Day14,01.06.2026
alcohol_62,alcohol_62.csv,alcohol,62,Day14,01.06.2026
alcohol_63,alcohol_63.csv,alcohol,63,Day14,01.06.2026
acetone_61,acetone_61.csv,acetone,61,Day14,01.06.2026
acetone_62,acetone_62.csv,acetone,62,Day14,01.06.2026
acetone_63,acetone_63.csv,acetone,63,Day14,01.06.2026
air_35,air_35.csv,air,35,Day14,01.06.2026
air_36,air_36.csv,air,36,Day14,01.06.2026
air_37,air_37.csv,air,37,Day14,01.06.2026
air_38,air_38.csv,air,38,Day14,01.06.2026
air_39,air_39.csv,air,39,Day14,01.06.2026
air_40,air_40.csv,air,40,Day14,01.06.2026
air_41,air_41.csv,air,41,Day15,02.06.2026
air_42,air_42.csv,air,42,Day15,02.06.2026
air_43,air_43.csv,air,43,Day15,02.06.2026
air_44,air_44.csv,air,44,Day15,02.06.2026
alcohol_64,alcohol_64.csv,alcohol,64,Day16,04.06.2026
alcohol_65,alcohol_65.csv,alcohol,65,Day16,04.06.2026
alcohol_66,alcohol_66.csv,alcohol,66,Day16,04.06.2026
alcohol_67,alcohol_67.csv,alcohol,67,Day16,04.06.2026
alcohol_68,alcohol_68.csv,alcohol,68,Day16,04.06.2026
acetone_64,acetone_64.csv,acetone,64,Day16,04.06.2026
acetone_65,acetone_65.csv,acetone,65,Day16,04.06.2026
acetone_66,acetone_66.csv,acetone,66,Day16,04.06.2026
acetone_67,acetone_67.csv,acetone,67,Day16,04.06.2026
acetone_68,acetone_68.csv,acetone,68,Day16,04.06.2026
air_45,air_45.csv,air,45,Day16,04.06.2026
air_46,air_46.csv,air,46,Day16,04.06.2026
air_47,air_47.csv,air,47,Day16,04.06.2026
air_48,air_48.csv,air,48,Day16,04.06.2026
alcohol_69,alcohol_69.csv,alcohol,69,Day17,05.06.2026
alcohol_70,alcohol_70.csv,alcohol,70,Day17,05.06.2026
alcohol_71,alcohol_71.csv,alcohol,71,Day17,05.06.2026
alcohol_72,alcohol_72.csv,alcohol,72,Day17,05.06.2026
alcohol_73,alcohol_73.csv,alcohol,73,Day17,05.06.2026
acetone_69,acetone_69.csv,acetone,69,Day17,05.06.2026
acetone_70,acetone_70.csv,acetone,70,Day17,05.06.2026
acetone_71,acetone_71.csv,acetone,71,Day17,05.06.2026
acetone_72,acetone_72.csv,acetone,72,Day17,05.06.2026
acetone_73,acetone_73.csv,acetone,73,Day17,05.06.2026
air_49,air_49.csv,air,49,Day17,05.06.2026
air_50,air_50.csv,air,50,Day17,05.06.2026
air_51,air_51.csv,air,51,Day17,05.06.2026
air_52,air_52.csv,air,52,Day17,05.06.2026
