feature_space,pc,feature,loading,abs_loading
s1_s2_s3,PC2,normDeltaR_s1,0.027653455744395518,0.027653455744395518
s1_s2_s3,PC2,riseEMA_a0.1_s1,0.08550245492087213,0.08550245492087213
s1_s2_s3,PC2,riseEMA_a0.01_s1,0.04245303899845309,0.04245303899845309
s1_s2_s3,PC2,riseEMA_a0.001_s1,0.019126543113201017,0.019126543113201017
s1_s2_s3,PC2,recEMA_a0.1_s1,0.21548458153176991,0.21548458153176991
s1_s2_s3,PC2,recEMA_a0.01_s1,0.22426591662118772,0.22426591662118772
s1_s2_s3,PC2,recEMA_a0.001_s1,0.22935983628520196,0.22935983628520196
s1_s2_s3,PC2,deltaR_s2,0.23493130909522372,0.23493130909522372
s1_s2_s3,PC2,normDeltaR_s2,0.2220208390189419,0.2220208390189419
s1_s2_s3,PC2,riseEMA_a0.1_s2,0.22334884715009934,0.22334884715009934
s1_s2_s3,PC2,riseEMA_a0.01_s2,0.23447005334944737,0.23447005334944737
s1_s2_s3,PC2,riseEMA_a0.001_s2,0.23260664528339386,0.23260664528339386
s1_s2_s3,PC2,recEMA_a0.1_s2,-0.06478210096648349,0.06478210096648349
s1_s2_s3,PC2,recEMA_a0.01_s2,-0.06774868900877147,0.06774868900877147
s1_s2_s3,PC2,recEMA_a0.001_s2,-0.06326402962146317,0.06326402962146317
s1_s2_s3,PC2,deltaR_s3,-0.12902681105701813,0.12902681105701813
s1_s2_s3,PC2,normDeltaR_s3,-0.12765483533959385,0.12765483533959385
s1_s2_s3,PC2,riseEMA_a0.1_s3,-0.10803722828439571,0.10803722828439571
s1_s2_s3,PC2,riseEMA_a0.01_s3,-0.11135644176654425,0.11135644176654425
s1_s2_s3,PC2,riseEMA_a0.001_s3,-0.12077160357687208,0.12077160357687208
s1_s2_s3,PC2,recEMA_a0.1_s3,0.3561385214114307,0.3561385214114307
s1_s2_s3,PC2,recEMA_a0.01_s3,0.4342438829736805,0.4342438829736805
s1_s2_s3,PC2,recEMA_a0.001_s3,0.42059213093995484,0.42059213093995484
s1_s2_s3,PC3,deltaR_s1,0.0789289000714573,0.0789289000714573
s1_s2_s3,PC3,normDeltaR_s1,0.13708062454045114,0.13708062454045114
s1_s2_s3,PC3,riseEMA_a0.1_s1,0.014737206036546128,0.014737206036546128
s1_s2_s3,PC3,riseEMA_a0.01_s1,0.061761313406540584,0.061761313406540584
s1_s2_s3,PC3,riseEMA_a0.001_s1,0.07906949316754741,0.07906949316754741
s1_s2_s3,PC3,recEMA_a0.1_s1,0.24394162301128602,0.24394162301128602
s1_s2_s3,PC3,recEMA_a0.01_s1,0.24125070831045617,0.24125070831045617
s1_s2_s3,PC3,recEMA_a0.001_s1,0.22856764510727007,0.22856764510727007
s1_s2_s3,PC3,deltaR_s2,-0.034908283780610984,0.034908283780610984
s1_s2_s3,PC3,normDeltaR_s2,-0.031485945812413825,0.031485945812413825
s1_s2_s3,PC3,riseEMA_a0.1_s2,-0.036556306700489274,0.036556306700489274
s1_s2_s3,PC3,riseEMA_a0.01_s2,-0.031600695691477505,0.031600695691477505
s1_s2_s3,PC3,riseEMA_a0.001_s2,-0.03348833306623825,0.03348833306623825
s1_s2_s3,PC3,recEMA_a0.1_s2,0.31235758501200467,0.31235758501200467
s1_s2_s3,PC3,recEMA_a0.01_s2,0.33010284800313483,0.33010284800313483
s1_s2_s3,PC3,recEMA_a0.001_s2,0.3306405127870369,0.3306405127870369
s1_s2_s3,PC3,deltaR_s3,0.32215081719836003,0.32215081719836003
s1_s2_s3,PC3,normDeltaR_s3,0.32135758142490517,0.32135758142490517
s1_s2_s3,PC3,riseEMA_a0.1_s3,0.25773595769126595,0.25773595769126595
s1_s2_s3,PC3,riseEMA_a0.01_s3,0.29453311082961847,0.29453311082961847
s1_s2_s3,PC3,riseEMA_a0.001_s3,0.2923059612084557,0.2923059612084557
s1_s2_s3,PC3,recEMA_a0.1_s3,0.03883137787253676,0.03883137787253676
s1_s2_s3,PC3,recEMA_a0.01_s3,0.10571932779846051,0.10571932779846051
s1_s2_s3,PC3,recEMA_a0.001_s3,0.12190806260422198,0.12190806260422198
s2_s3_s5,PC1,deltaR_s2,0.2346982017083948,0.2346982017083948
s2_s3_s5,PC1,normDeltaR_s2,0.23475908889031344,0.23475908889031344
s2_s3_s5,PC1,riseEMA_a0.1_s2,0.2320065041340047,0.2320065041340047
s2_s3_s5,PC1,riseEMA_a0.01_s2,0.23608764803801774,0.23608764803801774
s2_s3_s5,PC1,riseEMA_a0.001_s2,0.235958954794093,0.235958954794093
s2_s3_s5,PC1,recEMA_a0.1_s2,-0.20052587281887108,0.20052587281887108
s2_s3_s5,PC1,recEMA_a0.01_s2,-0.2031168087097276,0.2031168087097276
s2_s3_s5,PC1,recEMA_a0.001_s2,-0.20203904607996404,0.20203904607996404
s2_s3_s5,PC1,deltaR_s3,0.19273484686396494,0.19273484686396494
s2_s3_s5,PC1,normDeltaR_s3,0.18581160800045937,0.18581160800045937
s2_s3_s5,PC1,riseEMA_a0.1_s3,0.20177340695733612,0.20177340695733612
s2_s3_s5,PC1,riseEMA_a0.01_s3,0.21054334105753125,0.21054334105753125
s2_s3_s5,PC1,riseEMA_a0.001_s3,0.2064700460742647,0.2064700460742647
s2_s3_s5,PC1,recEMA_a0.1_s3,-0.05373167302243673,0.05373167302243673
s2_s3_s5,PC1,recEMA_a0.01_s3,-0.09213416068510016,0.09213416068510016
s2_s3_s5,PC1,recEMA_a0.001_s3,-0.09606233499882105,0.09606233499882105
s2_s3_s5,PC1,deltaR_s5,0.24279331379634653,0.24279331379634653
s2_s3_s5,PC1,normDeltaR_s5,0.2470816866637193,0.2470816866637193
s2_s3_s5,PC1,riseEMA_a0.1_s5,0.23422509148807022,0.23422509148807022
s2_s3_s5,PC1,riseEMA_a0.01_s5,0.24239530520842334,0.24239530520842334
s2_s3_s5,PC1,riseEMA_a0.001_s5,0.24298188984607227,0.24298188984607227
s2_s3_s5,PC1,recEMA_a0.1_s5,-0.168272117818632,0.168272117818632
s2_s3_s5,PC1,recEMA_a0.01_s5,-0.1746367394323583,0.1746367394323583
s2_s3_s5,PC1,recEMA_a0.001_s5,-0.1756735763059683,0.1756735763059683
s2_s3_s5,PC2,deltaR_s2,0.19691778201162302,0.19691778201162302
s2_s3_s5,PC2,normDeltaR_s2,0.18298907262168146,0.18298907262168146
s2_s3_s5,PC2,riseEMA_a0.1_s2,0.18971991890112896,0.18971991890112896
s2_s3_s5,PC2,riseEMA_a0.01_s2,0.1985170241741786,0.1985170241741786
s2_s3_s5,PC2,riseEMA_a0.001_s2,0.19524773582169133,0.19524773582169133
s2_s3_s5,PC2,recEMA_a0.1_s2,0.0034889176555430953,0.0034889176555430953
s2_s3_s5,PC2,recEMA_a0.01_s2,-0.0011622016540482388,0.0011622016540482388
s2_s3_s5,PC2,recEMA_a0.001_s2,0.003034697767589993,0.003034697767589993
s2_s3_s5,PC2,deltaR_s3,-0.10749715927538869,0.10749715927538869
s2_s3_s5,PC2,normDeltaR_s3,-0.11157673550277164,0.11157673550277164
s2_s3_s5,PC2,riseEMA_a0.1_s3,-0.09163201897906917,0.09163201897906917
s2_s3_s5,PC2,riseEMA_a0.01_s3,-0.09169983630022155,0.09169983630022155
s2_s3_s5,PC2,riseEMA_a0.001_s3,-0.10461919705679829,0.10461919705679829
s2_s3_s5,PC2,recEMA_a0.1_s3,0.355972762884207,0.355972762884207
s2_s3_s5,PC2,recEMA_a0.01_s3,0.44689732738353666,0.44689732738353666
s2_s3_s5,PC2,recEMA_a0.001_s3,0.4360695896661488,0.4360695896661488
s2_s3_s5,PC2,deltaR_s5,0.08302515337469549,0.08302515337469549
s2_s3_s5,PC2,normDeltaR_s5,0.07334266339380979,0.07334266339380979
s2_s3_s5,PC2,riseEMA_a0.1_s5,0.12947369511518705,0.12947369511518705
s2_s3_s5,PC2,riseEMA_a0.01_s5,0.09772786451001188,0.09772786451001188
s2_s3_s5,PC2,riseEMA_a0.001_s5,0.08138683012240572,0.08138683012240572
s2_s3_s5,PC2,recEMA_a0.1_s5,0.2417548094481858,0.2417548094481858
s2_s3_s5,PC2,recEMA_a0.01_s5,0.2636989325333635,0.2636989325333635
s2_s3_s5,PC2,recEMA_a0.001_s5,0.26954128755712686,0.26954128755712686
s2_s3_s5,PC3,deltaR_s2,-0.07301434783048516,0.07301434783048516
s2_s3_s5,PC3,normDeltaR_s2,-0.0683387048542997,0.0683387048542997
s2_s3_s5,PC3,riseEMA_a0.1_s2,-0.06877181908065569,0.06877181908065569
s2_s3_s5,PC3,riseEMA_a0.01_s2,-0.06830269934108313,0.06830269934108313
s2_s3_s5,PC3,riseEMA_a0.001_s2,-0.07078015653966337,0.07078015653966337
s2_s3_s5,PC3,recEMA_a0.1_s2,0.31923458876499444,0.31923458876499444
s2_s3_s5,PC3,recEMA_a0.01_s2,0.33412906129124353,0.33412906129124353
s2_s3_s5,PC3,recEMA_a0.001_s2,0.33352612361385936,0.33352612361385936
s2_s3_s5,PC3,deltaR_s3,0.33634731030300535,0.33634731030300535
s2_s3_s5,PC3,normDeltaR_s3,0.3325487882639351,0.3325487882639351
s2_s3_s5,PC3,riseEMA_a0.1_s3,0.27368684383949804,0.27368684383949804
s2_s3_s5,PC3,riseEMA_a0.01_s3,0.30764859662368416,0.30764859662368416
s2_s3_s5,PC3,riseEMA_a0.001_s3,0.30362763924700975,0.30362763924700975
s2_s3_s5,PC3,recEMA_a0.1_s3,-0.02100439149443055,0.02100439149443055
s2_s3_s5,PC3,recEMA_a0.01_s3,0.033559107868676545,0.033559107868676545
s2_s3_s5,PC3,recEMA_a0.001_s3,0.05077653124438204,0.05077653124438204
s2_s3_s5,PC3,deltaR_s5,0.0779702804957181,0.0779702804957181
s2_s3_s5,PC3,normDeltaR_s5,0.10050617116170096,0.10050617116170096
s2_s3_s5,PC3,riseEMA_a0.1_s5,0.034197532044392284,0.034197532044392284
s2_s3_s5,PC3,riseEMA_a0.01_s5,0.06796745626850316,0.06796745626850316
s2_s3_s5,PC3,riseEMA_a0.001_s5,0.0802745118853323,0.0802745118853323
s2_s3_s5,PC3,recEMA_a0.1_s5,0.2144286653531284,0.2144286653531284
s2_s3_s5,PC3,recEMA_a0.01_s5,0.21697549639779373,0.21697549639779373
s2_s3_s5,PC3,recEMA_a0.001_s5,0.19930824012651083,0.19930824012651083
s1_s2_s3_s4_s5_s6,PC1,deltaR_s1,0.1754719244167019,0.1754719244167019
s1_s2_s3_s4_s5_s6,PC1,normDeltaR_s1,0.1835060097496527,0.1835060097496527
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.1_s1,0.17032988695005485,0.17032988695005485
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.01_s1,0.17643902823233867,0.17643902823233867
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.001_s1,0.17618828977592738,0.17618828977592738
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.1_s1,-0.12540899178149606,0.12540899178149606
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.01_s1,-0.12996485113427642,0.12996485113427642
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.001_s1,-0.13191165324322388,0.13191165324322388
s1_s2_s3_s4_s5_s6,PC1,deltaR_s2,0.17967212144980566,0.17967212144980566
s1_s2_s3_s4_s5_s6,PC1,normDeltaR_s2,0.17932772297084176,0.17932772297084176
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.1_s2,0.17628759087381918,0.17628759087381918
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.01_s2,0.18052240051300336,0.18052240051300336
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.001_s2,0.18049515308412475,0.18049515308412475
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.1_s2,-0.15212560282423762,0.15212560282423762
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.01_s2,-0.1547259851389751,0.1547259851389751
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.001_s2,-0.15388869909973985,0.15388869909973985
s1_s2_s3_s4_s5_s6,PC1,deltaR_s3,0.1377762317918477,0.1377762317918477
s1_s2_s3_s4_s5_s6,PC1,normDeltaR_s3,0.13154249261123177,0.13154249261123177
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.1_s3,0.14364625212409307,0.14364625212409307
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.01_s3,0.15113738698045745,0.15113738698045745
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.001_s3,0.14821141483680936,0.14821141483680936
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.1_s3,-0.035278083564814974,0.035278083564814974
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.01_s3,-0.06182236168443622,0.06182236168443622
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.001_s3,-0.06535364641417243,0.06535364641417243
s1_s2_s3_s4_s5_s6,PC1,deltaR_s4,0.17729953619975572,0.17729953619975572
s1_s2_s3_s4_s5_s6,PC1,normDeltaR_s4,0.1701405505931865,0.1701405505931865
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.1_s4,0.17501058984280293,0.17501058984280293
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.01_s4,0.1789718134353391,0.1789718134353391
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.001_s4,0.17855559562161746,0.17855559562161746
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.1_s4,-0.12717603417670884,0.12717603417670884
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.01_s4,-0.16443891729946192,0.16443891729946192
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.001_s4,-0.16670336580880035,0.16670336580880035
s1_s2_s3_s4_s5_s6,PC1,deltaR_s5,0.18451516209726626,0.18451516209726626
s1_s2_s3_s4_s5_s6,PC1,normDeltaR_s5,0.18555792636753138,0.18555792636753138
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.1_s5,0.17675357984214848,0.17675357984214848
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.01_s5,0.18387446803356006,0.18387446803356006
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.001_s5,0.1844806947151552,0.1844806947151552
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.1_s5,-0.127896727850518,0.127896727850518
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.01_s5,-0.13262565963652836,0.13262565963652836
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.001_s5,-0.13342399079831235,0.13342399079831235
s1_s2_s3_s4_s5_s6,PC1,deltaR_s6,0.025835867011119267,0.025835867011119267
s1_s2_s3_s4_s5_s6,PC1,normDeltaR_s6,0.028495039737631664,0.028495039737631664
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.1_s6,0.03260937619071633,0.03260937619071633
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.01_s6,0.032104551612705395,0.032104551612705395
s1_s2_s3_s4_s5_s6,PC1,riseEMA_a0.001_s6,0.03210703986983067,0.03210703986983067
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.1_s6,-0.02568962645826284,0.02568962645826284
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.01_s6,-0.026164473812504307,0.026164473812504307
s1_s2_s3_s4_s5_s6,PC1,recEMA_a0.001_s6,-0.025029050331008794,0.025029050331008794
s1_s2_s3_s4_s5_s6,PC2,deltaR_s1,0.015344951779504764,0.015344951779504764
s1_s2_s3_s4_s5_s6,PC2,normDeltaR_s1,0.04805228526134364,0.04805228526134364
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.1_s1,0.03249015878021293,0.03249015878021293
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.01_s1,0.026122857744922512,0.026122857744922512
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.001_s1,0.01952356513639425,0.01952356513639425
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.1_s1,0.23509340782781774,0.23509340782781774
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.01_s1,0.24075006780653485,0.24075006780653485
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.001_s1,0.23747830512276058,0.23747830512276058
s1_s2_s3_s4_s5_s6,PC2,deltaR_s2,0.06664192928102577,0.06664192928102577
s1_s2_s3_s4_s5_s6,PC2,normDeltaR_s2,0.0641298259677249,0.0641298259677249
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.1_s2,0.07041909427245052,0.07041909427245052
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.01_s2,0.07262270823224673,0.07262270823224673
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.001_s2,0.06836308138732083,0.06836308138732083
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.1_s2,0.13508907362318517,0.13508907362318517
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.01_s2,0.14422547510920852,0.14422547510920852
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.001_s2,0.14500113163146522,0.14500113163146522
s1_s2_s3_s4_s5_s6,PC2,deltaR_s3,0.08199944634791308,0.08199944634791308
s1_s2_s3_s4_s5_s6,PC2,normDeltaR_s3,0.0830650200497219,0.0830650200497219
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.1_s3,0.05249753287698366,0.05249753287698366
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.01_s3,0.06568398058087455,0.06568398058087455
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.001_s3,0.06231508835106407,0.06231508835106407
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.1_s3,0.1361607943373862,0.1361607943373862
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.01_s3,0.21174462404608593,0.21174462404608593
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.001_s3,0.20800014874203626,0.20800014874203626
s1_s2_s3_s4_s5_s6,PC2,deltaR_s4,0.08978019208068935,0.08978019208068935
s1_s2_s3_s4_s5_s6,PC2,normDeltaR_s4,0.08811776460585295,0.08811776460585295
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.1_s4,0.09425786092962285,0.09425786092962285
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.01_s4,0.09789119205725479,0.09789119205725479
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.001_s4,0.09425110013627135,0.09425110013627135
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.1_s4,0.12014897441313889,0.12014897441313889
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.01_s4,0.09023649638975105,0.09023649638975105
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.001_s4,0.08859390458166559,0.08859390458166559
s1_s2_s3_s4_s5_s6,PC2,deltaR_s5,0.05918835820319894,0.05918835820319894
s1_s2_s3_s4_s5_s6,PC2,normDeltaR_s5,0.07334998159493508,0.07334998159493508
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.1_s5,0.06827685887600615,0.06827685887600615
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.01_s5,0.06475691197127256,0.06475691197127256
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.001_s5,0.06038601614677644,0.06038601614677644
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.1_s5,0.22053134888946696,0.22053134888946696
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.01_s5,0.226385584332261,0.226385584332261
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.001_s5,0.22398498769460437,0.22398498769460437
s1_s2_s3_s4_s5_s6,PC2,deltaR_s6,0.25138803150173317,0.25138803150173317
s1_s2_s3_s4_s5_s6,PC2,normDeltaR_s6,0.2522131366694467,0.2522131366694467
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.1_s6,0.28182190626358217,0.28182190626358217
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.01_s6,0.2774920104417451,0.2774920104417451
s1_s2_s3_s4_s5_s6,PC2,riseEMA_a0.001_s6,0.2671718363635629,0.2671718363635629
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.1_s6,-0.07563752220715804,0.07563752220715804
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.01_s6,-0.05508677659242857,0.05508677659242857
s1_s2_s3_s4_s5_s6,PC2,recEMA_a0.001_s6,-0.05047101976671888,0.05047101976671888
s1_s2_s3_s4_s5_s6,PC3,deltaR_s1,0.04032143963267245,0.04032143963267245
s1_s2_s3_s4_s5_s6,PC3,normDeltaR_s1,0.01880768525102252,0.01880768525102252
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.1_s1,0.005566783893966476,0.005566783893966476
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.01_s1,0.030950365354597165,0.030950365354597165
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.001_s1,0.04356430857148852,0.04356430857148852
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.1_s1,-0.15754878058266883,0.15754878058266883
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.01_s1,-0.15676444726908245,0.15676444726908245
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.001_s1,-0.15828318048345602,0.15828318048345602
s1_s2_s3_s4_s5_s6,PC3,deltaR_s2,-0.15506280211557455,0.15506280211557455
s1_s2_s3_s4_s5_s6,PC3,normDeltaR_s2,-0.14968285814376867,0.14968285814376867
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.1_s2,-0.13059092720739132,0.13059092720739132
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.01_s2,-0.14658920981493778,0.14658920981493778
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.001_s2,-0.1500937118872792,0.1500937118872792
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.1_s2,0.07306564731248907,0.07306564731248907
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.01_s2,0.07740763302500994,0.07740763302500994
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.001_s2,0.07565558705954255,0.07565558705954255
s1_s2_s3_s4_s5_s6,PC3,deltaR_s3,0.13633138256077368,0.13633138256077368
s1_s2_s3_s4_s5_s6,PC3,normDeltaR_s3,0.1266424804102478,0.1266424804102478
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.1_s3,0.12247100888286917,0.12247100888286917
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.01_s3,0.1332265100442411,0.1332265100442411
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.001_s3,0.13890895706321219,0.13890895706321219
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.1_s3,-0.16987497859427783,0.16987497859427783
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.01_s3,-0.2157808858466677,0.2157808858466677
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.001_s3,-0.2196407645094742,0.2196407645094742
s1_s2_s3_s4_s5_s6,PC3,deltaR_s4,-0.13723692713118613,0.13723692713118613
s1_s2_s3_s4_s5_s6,PC3,normDeltaR_s4,-0.1299564096660153,0.1299564096660153
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.1_s4,-0.13653993909394702,0.13653993909394702
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.01_s4,-0.13730937284091754,0.13730937284091754
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.001_s4,-0.1314758548991814,0.1314758548991814
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.1_s4,0.05981991218139844,0.05981991218139844
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.01_s4,0.04578296243999458,0.04578296243999458
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.001_s4,0.04673230254046309,0.04673230254046309
s1_s2_s3_s4_s5_s6,PC3,deltaR_s5,-0.008943561334136051,0.008943561334136051
s1_s2_s3_s4_s5_s6,PC3,normDeltaR_s5,-0.023253784262161452,0.023253784262161452
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.1_s5,-0.04759442867942974,0.04759442867942974
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.01_s5,-0.016995184789803105,0.016995184789803105
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.001_s5,-0.005145325389651966,0.005145325389651966
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.1_s5,-0.14822188676435108,0.14822188676435108
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.01_s5,-0.15922788741113822,0.15922788741113822
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.001_s5,-0.16373444705267118,0.16373444705267118
s1_s2_s3_s4_s5_s6,PC3,deltaR_s6,0.28990502569535165,0.28990502569535165
s1_s2_s3_s4_s5_s6,PC3,normDeltaR_s6,0.2747607314384034,0.2747607314384034
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.1_s6,0.23391832678880758,0.23391832678880758
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.01_s6,0.21095804857533335,0.21095804857533335
s1_s2_s3_s4_s5_s6,PC3,riseEMA_a0.001_s6,0.19924203747474295,0.19924203747474295
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.1_s6,-0.22763182057124762,0.22763182057124762
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.01_s6,-0.18961891015660265,0.18961891015660265
s1_s2_s3_s4_s5_s6,PC3,recEMA_a0.001_s6,-0.15444614633813972,0.15444614633813972
