sample_id,label,period,day,day_num,day_label,record_date,batch,paper_batch,source_kind,target_file,duration_s,profile,baseline_start_s,baseline_end_s,exposure_start_s,exposure_end_s,recovery_start_s,recovery_end_s,actual_last_s,baseline_n,exposure_n,recovery_n,observation_n
air_9,air,Period_II,Day 5,5,Period II Day 5,21.05.2026,batch2,Batch3,new,air\air_9.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
reference_9,air,Period_II,Day 8,8,Period II Day 8,24.05.2026,batch2,Batch3,reference_as_air,air\reference_9.csv,60.0,programme_60,0.0,30.0,30.0,40.0,40.0,61.826,61.826,119,39,87,245
air_10,air,Period_II,Day 5,5,Period II Day 5,21.05.2026,batch2,Batch3,new,air\air_10.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
air_11,air,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,air\air_11.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
air_12,air,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,air\air_12.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_13,air,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,air\air_13.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_14,air,Period_II,Day 8,8,Period II Day 8,24.05.2026,batch2,Batch3,new,air\air_14.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_15,air,Period_II,Day 8,8,Period II Day 8,24.05.2026,batch2,Batch3,new,air\air_15.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
air_16,air,Period_II,Day 9,9,Period II Day 9,25.05.2026,batch2,Batch3,new,air\air_16.csv,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.013,132.013,237,40,245,522
air_17,air,Period_II,Day 9,9,Period II Day 9,25.05.2026,batch2,Batch3,new,air\air_17.csv,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.025,132.025,237,40,245,522
air_18,air,Period_II,Day 10,10,Period II Day 10,27.05.2026,batch3,Batch4,new,air\air_18.csv,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.014,132.014,237,40,245,522
air_19,air,Period_II,Day 10,10,Period II Day 10,27.05.2026,batch3,Batch4,new,air\air_19.csv,130.0,programme_130,0.0,60.0,60.0,70.0,70.0,132.025,132.025,237,40,245,522
air_20,air,Period_II,Day 11,11,Period II Day 11,28.05.2026,batch3,Batch4,new,air\air_20.csv,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,127.183,127.183,237,20,246,503
air_21,air,Period_II,Day 11,11,Period II Day 11,28.05.2026,batch3,Batch4,new,air\air_21.csv,125.0,programme_125,0.0,60.0,60.0,65.0,65.0,126.945,126.945,237,20,245,502
air_22,air,Period_II,Day 12,12,Period II Day 12,29.05.2026,batch3,Batch4,new,air\air_22.csv,180.0,manual_180_air_22,0.0,60.0,60.0,70.0,70.0,111.224,111.224,237,40,163,440
air_23,air,Period_II,Day 12,12,Period II Day 12,29.05.2026,batch3,Batch4,new,air\air_23.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,180.643,237,237,237,711
air_24,air,Period_II,Day 13,13,Period II Day 13,30.05.2026,batch3,Batch4,new,air\air_24.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_25,air,Period_II,Day 13,13,Period II Day 13,30.05.2026,batch3,Batch4,new,air\air_25.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
air_26,air,Period_II,Day 13,13,Period II Day 13,30.05.2026,batch3,Batch4,new,air\air_26.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.928,237,237,237,711
air_27,air,Period_II,Day 13,13,Period II Day 13,30.05.2026,batch3,Batch4,new,air\air_27.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_28,air,Period_II,Day 13,13,Period II Day 13,30.05.2026,batch3,Batch4,new,air\air_28.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_29,air,Period_II,Day 14,14,Period II Day 14,31.05.2026,batch3,Batch4,new,air\air_29.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_30,air,Period_II,Day 14,14,Period II Day 14,31.05.2026,batch3,Batch4,new,air\air_30.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_31,air,Period_II,Day 14,14,Period II Day 14,31.05.2026,batch3,Batch4,new,air\air_31.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_32,air,Period_II,Day 14,14,Period II Day 14,31.05.2026,batch3,Batch4,new,air\air_32.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_33,air,Period_II,Day 14,14,Period II Day 14,31.05.2026,batch3,Batch4,new,air\air_33.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
air_34,air,Period_II,Day 14,14,Period II Day 14,31.05.2026,batch3,Batch4,new,air\air_34.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
air_35,air,Period_II,Day 15,15,Period II Day 15,01.06.2026,batch3,Batch4,new,air\air_35.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
air_36,air,Period_II,Day 15,15,Period II Day 15,01.06.2026,batch3,Batch4,new,air\air_36.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
air_37,air,Period_II,Day 15,15,Period II Day 15,01.06.2026,batch3,Batch4,new,air\air_37.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.676,237,237,237,711
air_38,air,Period_II,Day 15,15,Period II Day 15,01.06.2026,batch3,Batch4,new,air\air_38.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
air_39,air,Period_II,Day 15,15,Period II Day 15,01.06.2026,batch3,Batch4,new,air\air_39.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
air_40,air,Period_II,Day 15,15,Period II Day 15,01.06.2026,batch3,Batch4,new,air\air_40.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
air_41,air,Period_II,Day 16,16,Period II Day 16,02.06.2026,batch3,Batch4,new,air\air_41.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.909,237,237,237,711
air_42,air,Period_II,Day 16,16,Period II Day 16,02.06.2026,batch3,Batch4,new,air\air_42.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.911,237,237,237,711
air_43,air,Period_II,Day 16,16,Period II Day 16,02.06.2026,batch3,Batch4,new,air\air_43.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.163,237,237,237,711
air_44,air,Period_II,Day 16,16,Period II Day 16,02.06.2026,batch3,Batch4,new,air\air_44.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_45,air,Period_II,Day 17,17,Period II Day 17,04.06.2026,batch3,Batch4,new,air\air_45.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
air_46,air,Period_II,Day 17,17,Period II Day 17,04.06.2026,batch3,Batch4,new,air\air_46.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_47,air,Period_II,Day 17,17,Period II Day 17,04.06.2026,batch3,Batch4,new,air\air_47.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.184,237,237,237,711
air_48,air,Period_II,Day 17,17,Period II Day 17,04.06.2026,batch3,Batch4,new,air\air_48.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,159.125,159.125,237,237,155,629
air_49,air,Period_III,Day 18,18,Period III Day 18,12.06.2026,batch4,Batch5,new,air\air_49.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_50,air,Period_III,Day 18,18,Period III Day 18,12.06.2026,batch4,Batch5,new,air\air_50.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_51,air,Period_III,Day 18,18,Period III Day 18,12.06.2026,batch4,Batch5,new,air\air_51.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_52,air,Period_III,Day 18,18,Period III Day 18,12.06.2026,batch4,Batch5,new,air\air_52.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_53,air,Period_III,Day 19,19,Period III Day 19,13.06.2026,batch4,Batch5,new,air\air_53.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.914,237,237,237,711
air_54,air,Period_III,Day 19,19,Period III Day 19,13.06.2026,batch4,Batch5,new,air\air_54.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_55,air,Period_III,Day 20,20,Period III Day 20,14.06.2026,batch4,Batch5,new,air\air_55.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
air_56,air,Period_III,Day 20,20,Period III Day 20,14.06.2026,batch4,Batch5,new,air\air_56.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.931,237,237,237,711
air_57,air,Period_III,Day 20,20,Period III Day 20,14.06.2026,batch4,Batch5,new,air\air_57.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
air_58,air,Period_III,Day 20,20,Period III Day 20,14.06.2026,batch4,Batch5,new,air\air_58.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.201,237,237,237,711
air_59,air,Period_III,Day 21,21,Period III Day 21,15.06.2026,batch4,Batch5,new,air\air_59.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_60,air,Period_III,Day 21,21,Period III Day 21,15.06.2026,batch4,Batch5,new,air\air_60.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
air_61,air,Period_III,Day 21,21,Period III Day 21,15.06.2026,batch4,Batch5,new,air\air_61.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_62,air,Period_III,Day 21,21,Period III Day 21,15.06.2026,batch4,Batch5,new,air\air_62.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_63,air,Period_IV,Day 22,22,Period IV Day 22,20.06.2026,batch5,Batch6,new,air\air_63.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
air_64,air,Period_IV,Day 22,22,Period IV Day 22,20.06.2026,batch5,Batch6,new,air\air_64.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_65,air,Period_IV,Day 22,22,Period IV Day 22,20.06.2026,batch5,Batch6,new,air\air_65.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
air_66,air,Period_IV,Day 23,23,Period IV Day 23,21.06.2026,batch5,Batch6,new,air\air_66.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
air_67,air,Period_IV,Day 23,23,Period IV Day 23,21.06.2026,batch5,Batch6,new,air\air_67.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_68,air,Period_IV,Day 23,23,Period IV Day 23,21.06.2026,batch5,Batch6,new,air\air_68.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.927,237,237,237,711
air_69,air,Period_IV,Day 23,23,Period IV Day 23,21.06.2026,batch5,Batch6,new,air\air_69.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
air_70,air,Period_IV,Day 24,24,Period IV Day 24,22.06.2026,batch5,Batch6,new,air\air_70.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.171,237,237,237,711
air_71,air,Period_IV,Day 24,24,Period IV Day 24,22.06.2026,batch5,Batch6,new,air\air_71.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
air_72,air,Period_IV,Day 24,24,Period IV Day 24,22.06.2026,batch5,Batch6,new,air\air_72.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_1,alcohol,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,new,alcohol\alcohol_1.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o1,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,,source,Batch1,old,alcohol\alcohol_o1.csv,181.903,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.903,237,237,237,711
alcohol_2,alcohol,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,new,alcohol\alcohol_2.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o2,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,,source,Batch1,old,alcohol\alcohol_o2.csv,181.91,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
alcohol_3,alcohol,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,new,alcohol\alcohol_3.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o3,alcohol,Period_I,Day 1 afternoon,1,Period I Day 1 afternoon,,source,Batch1,old,alcohol\alcohol_o3.csv,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_4,alcohol,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,new,alcohol\alcohol_4.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_o4,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,,source,Batch1,old,alcohol\alcohol_o4.csv,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_5,alcohol,Period_II,Day 1,1,Period II Day 1,14.05.2026,batch1,Batch2,new,alcohol\alcohol_5.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_o5,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,,source,Batch1,old,alcohol\alcohol_o5.csv,182.183,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_6,alcohol,Period_II,Day 2,2,Period II Day 2,15.05.2026,batch1,Batch2,new,alcohol\alcohol_6.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o6,alcohol,Period_I,Day 2 noon,2,Period I Day 2 noon,,source,Batch1,old,alcohol\alcohol_o6.csv,182.182,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
alcohol_7,alcohol,Period_II,Day 2,2,Period II Day 2,15.05.2026,batch1,Batch2,new,alcohol\alcohol_7.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_o7,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,,source,Batch1,old,alcohol\alcohol_o7.csv,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_8,alcohol,Period_II,Day 2,2,Period II Day 2,15.05.2026,batch1,Batch2,new,alcohol\alcohol_8.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o8,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,,source,Batch1,old,alcohol\alcohol_o8.csv,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_9,alcohol,Period_II,Day 2,2,Period II Day 2,15.05.2026,batch1,Batch2,new,alcohol\alcohol_9.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
alcohol_o9,alcohol,Period_I,Day 2 afternoon,2,Period I Day 2 afternoon,,source,Batch1,old,alcohol\alcohol_o9.csv,181.93,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_10,alcohol,Period_II,Day 2,2,Period II Day 2,15.05.2026,batch1,Batch2,new,alcohol\alcohol_10.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_o10,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,,source,Batch1,old,alcohol\alcohol_o10.csv,182.164,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.164,237,237,237,711
alcohol_11,alcohol,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,new,alcohol\alcohol_11.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o11,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,,source,Batch1,old,alcohol\alcohol_o11.csv,181.929,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_12,alcohol,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,new,alcohol\alcohol_12.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_o12,alcohol,Period_I,Day 3 noon,3,Period I Day 3 noon,,source,Batch1,old,alcohol\alcohol_o12.csv,182.182,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.182,237,237,237,711
alcohol_13,alcohol,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,new,alcohol\alcohol_13.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_14,alcohol,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,new,alcohol\alcohol_14.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_15,alcohol,Period_II,Day 3,3,Period II Day 3,19.05.2026,batch2,Batch3,new,alcohol\alcohol_15.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.929,237,237,237,711
alcohol_16,alcohol,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,new,alcohol\alcohol_16.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_17,alcohol,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,new,alcohol\alcohol_17.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_18,alcohol,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,new,alcohol\alcohol_18.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.199,237,237,237,711
alcohol_19,alcohol,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,new,alcohol\alcohol_19.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.947,237,237,237,711
alcohol_20,alcohol,Period_II,Day 4,4,Period II Day 4,20.05.2026,batch2,Batch3,new,alcohol\alcohol_20.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_21,alcohol,Period_II,Day 5,5,Period II Day 5,21.05.2026,batch2,Batch3,new,alcohol\alcohol_21.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_22,alcohol,Period_II,Day 5,5,Period II Day 5,21.05.2026,batch2,Batch3,new,alcohol\alcohol_22.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_23,alcohol,Period_II,Day 5,5,Period II Day 5,21.05.2026,batch2,Batch3,new,alcohol\alcohol_23.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_24,alcohol,Period_II,Day 5,5,Period II Day 5,21.05.2026,batch2,Batch3,new,alcohol\alcohol_24.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_25,alcohol,Period_II,Day 5,5,Period II Day 5,21.05.2026,batch2,Batch3,new,alcohol\alcohol_25.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.946,237,237,237,711
alcohol_26,alcohol,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,alcohol\alcohol_26.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.945,237,237,237,711
alcohol_27,alcohol,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,alcohol\alcohol_27.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.162,237,237,237,711
alcohol_28,alcohol,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,alcohol\alcohol_28.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_29,alcohol,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,alcohol\alcohol_29.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.93,237,237,237,711
alcohol_30,alcohol,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,alcohol\alcohol_30.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.183,237,237,237,711
alcohol_31,alcohol,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,alcohol\alcohol_31.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,182.2,237,237,237,711
alcohol_32,alcohol,Period_II,Day 6,6,Period II Day 6,22.05.2026,batch2,Batch3,new,alcohol\alcohol_32.csv,180.0,programme_180_window,0.0,60.0,60.0,120.0,120.0,180.0,181.91,237,237,237,711
